url,titulo,autores,abstrac
https://ideas.repec.org/a/col/000090/019415.html,La brecha de remuneraciones entre segmentos del mercado de trabajo en la Argentina,Jorge Paz ; ,"En economÃ­as con mercados laborales duales, las trabajadoras y los trabajadores que se desempeÃ±an en el segmento formal perciben una remuneraciÃ³n mÃ¡s alta que quienes lo hacen en el segmento no formal. Este artÃ­culo pretende identificar y cuantificar el peso de los determinantes de la brecha de remuneraciones entre ocupadas y ocupados formales e informales. Para ello se aplica una descomposiciÃ³n microeconomÃ©trica que permite diferenciar premios a la formalidad y castigos a la informalidad en tÃ©rminos de pago. Se comprobÃ³ que la brecha existe y que es sensible a la estructura distributiva de los ingresos del trabajo. La productividad de los y las ocupadas en ambos segmentos y las caracterÃ­sticas del puesto de trabajo explican una buena parte de la disparidad de remuneraciones. La parte no explicada podrÃ­a obedecer a la estructura de los mercados y al excedente relativo de fuerza de trabajo resultado del escaso poder de absorciÃ³n del proceso de acumulaciÃ³n de capital."
https://ideas.repec.org/a/col/000090/019414.html,Tratados de Libre Comercio y duraciÃ³n de las exportaciones: Evidencia a nivel de firma para Colombia,Margalida Murillo ; Cindy Paola Leal ; ,"Este artÃ­culo analiza la incidencia de los tratados de libre comercio (TLC) sobre la duraciÃ³n de las exportaciones en Colombia. Con datos a nivel de firma producto-destino se estimaron modelos de duraciÃ³n en tiempo discreto que permitieron identificar que los TLC inciden negativamente en la probabilidad de cese de las relaciones comerciales activas antes de la entrada en vigor del acuerdo, sin embargo, aumentan el riesgo de salida de aquellas que comienzan despuÃ©s del acuerdo. Este doble efecto es robusto para distintos tipos de productos e, incluso, para exportaciones con certificado de origen. No obstante, las incursiones de firmas que cuentan con al menos un aÃ±o de experiencia en el sector exportador comportan mayores perspectivas de duraciÃ³n. Se concluye que el rol del aprendizaje y del conocimiento adquirido es clave en el propÃ³sito de lograr un mejor aprovechamiento de los acuerdos y maximizar las probabilidades de Ã©xito de las incursiones en los paÃ­ses con TLC."
https://ideas.repec.org/a/col/000090/019413.html,Factores detrÃ¡s del aumento de precios en el sector agrÃ­cola a inicios del Siglo XXI,Hernan Roitbarg ; ,"Durante los primeros aÃ±os del siglo XXI los precios agrÃ­colas han quebrado la trayectoria dominante por dÃ©cadas. El trabajo se propone estudiar los determinantes de tal cambio. La metodologÃ­a parte de un enfoque clÃ¡sico de precios e informaciÃ³n de matrices Insumo-Producto provenientes de la World Input- Output Database (Timmer et al., 2015). Los indicadores incluyeron renta captada por la tÃ©cnica media; uso de tierras; impactos acumulados en precios del costo del petrÃ³leo importado; salarios reales; y productividad total del trabajo. Los resultados confirman que los precios del sector agrÃ­cola han aumentado tanto por la mayor producciÃ³n intensiva como por el nuevo contexto institucional referido al encarecimiento del petrÃ³leo, salarios mÃ¡s altos y el lento progreso tÃ©cnico. En conclusiÃ³n, estos elementos configuran un nivel de precios mÃ­nimo mayor al de dÃ©cadas previas, lo que brinda cierto espacio para polÃ­ticas de cambio estructural en los paÃ­ses en desarrollo."
https://ideas.repec.org/a/col/000090/019412.html,Estructura productiva laboral y pobreza en MÃ©xico: un anÃ¡lisis municipal en tres regiones,Owen Eli Ceballos Mina ; Abelardo de Anda Casas ; ,"Identificar sectores productivos estratÃ©gicos es un tema relevante en el diseÃ±o de polÃ­ticas de desarrollo regional. Este artÃ­culo relaciona la estructura productiva laboral con la pobreza de los municipios de MÃ©xico agregados en tres regiones en 2015. Se estiman modelos de pobreza multidimensional para las ramas de empleo, controlando factores econÃ³micos, demogrÃ¡ficos y territoriales. Se encuentran resultados diferenciados por regiÃ³n y nivel de desagregaciÃ³n del sector productivo. En el sur del paÃ­s, ramas como transportes, servicios de comunicaciÃ³n, educaciÃ³n, salud, gobierno y turismo se relacionan con menor pobreza. En el centro y el norte, la pobreza disminuye con ocupaciones como la producciÃ³n de maquinaria y equipo, seguros, servicios corporativos, actividades profesionales, recreativas y de gobierno. Se evidencia que polÃ­ticas de reducciÃ³n de la pobreza orientadas al impulso econÃ³mico deben considerar las condiciones regionales y la estructura productiva laboral."
https://ideas.repec.org/a/col/000090/019411.html,Ã ndice de Desarrollo Local para Ecuador con datos del 2010,Adriana VÃ©lez-Tamay ; Viviana Carriel ; Yonimiler Castillo ; ,"El anÃ¡lisis del desarrollo a nivel subnacional ha adquirido relevancia en los Ãºltimos aÃ±os, de manera que surgen varios Ã­ndices que incorporan dimensiones econÃ³micas, sociales y ambientales. En Ecuador los pocos estudios realizados para medir el desarrollo no consideran la dimensiÃ³n ambiental. Por tanto, el objetivo de este artÃ­culo es presentar un Ã­ndice para medir el desarrollo local en Ecuador utilizando el anÃ¡lisis de componentes principales y tomando en consideraciÃ³n variables econÃ³micas, sociales y ambientales. Los resultados muestran que existen cantones con mayor nivel de desarrollo y cantones con menor nivel de desarrollo (ubicados, principalmente, en la zona de la Costa norte y la AmazonÃ­a). Se encontrÃ³ un patrÃ³n muy heterogÃ©neo de desarrollo local en el paÃ­s. Este Ã­ndice podrÃ­a utilizarse como una herramienta para el anÃ¡lisis de polÃ­ticas pÃºblicas de desarrollo local y una asignaciÃ³n de recursos subnacionales mÃ¡s eficiente."
https://ideas.repec.org/a/col/000090/019410.html,Analysis of Principal Nonlinear Components for the Construction of a Socioeconomic Stratification Index in Ecuador,Katherine Morales ; Miguel Flores ; Yasmín Salazar Méndez ; ,"Socio-economic stratification classifies people or groups of people within a society. Although social stratification is a universal characteristic of human societies, the criteria considered to classify individuals is not unique and some methodological approaches are distinguished. In this article, we build an indicator of socioeconomic stratification for Ecuador through a Nonlinear Principal Components Analysis using data from the 2010 Census. This methodology allows the incorporation of numerical and categorical variables, and nonlinear relationships. The main results suggest that the households located in the urban area show better conditions and greater access to basic services. Also, education positively affects social and economic conditions of both individuals and the households. In light of these results, public policy should target education and public investment in the provision of basic services in rural areas."
https://ideas.repec.org/a/col/000090/019409.html,Femicide in Latin America: An economic approach,Carolina Ã lvarez-Garavito ; Hugo Nicolás Acosta-González ; ,"Justification: The rising cases of femicide across Latin America have pushed governments to enact specific laws criminalizing this gender-based murder to deter violence and crime against women. However, given the lack of data, the effect of these legislations is unknown. We aim to understand the causes and mechanisms of femicide across Latin American countries, as well as the possible effect of the legislation on femicide rate. We propose an economic approach that combines ideas proposed by Beckerâ€™s economics of crime and bargaining household models to understand the mechanisms behind femicide. The proposed approach suggests that legislation has a positive effect on reducing the number of murders of women by increasing the likelihood of the criminal being convicted and punished, thus changing these criminalsâ€™ incentives to commit the crime. However, government inaction and impunity towards femicide may impede the effectiveness of legislation in deterring criminal behavior. As data on femicide becomes available, the effect of the legislation on femicide rates could be estimated using a difference in difference method."
https://ideas.repec.org/a/col/000090/018918.html,Un modelo sobre competencia en mercados de electricidad: contratos bilaterales en Colombia,Alex PÃ©rez ; Jaime Carabalí ; ,"En este artÃ­culo desarrollamos un modelo teÃ³rico para explicar cÃ³mo las firmas generadoras eligen su posiciÃ³n agregada en contratos bilaterales en el mercado de electricidad colombiano. Posteriormente, proponemos una estrategia empÃ­rica para contrastar las predicciones teÃ³ricas del modelo con datos del mercado mayorista. Nuestros resultados muestran que existe evidencia a favor de las hipÃ³tesis de nuestro modelo. Las firmas tienden a ajustar sus contratos en funciÃ³n de la generaciÃ³n ideal que esperan que el operador del mercado les asigne y de la diferencia entre los costos marginales y el precio de los contratos."
https://ideas.repec.org/a/col/000090/018917.html,Lecciones del Cargo por Confiabilidad en Colombia como un mecanismo de incentivo a la generaciÃ³n de energÃ­a elÃ©ctrica,JosÃ© Camilo Juvinao Navarro ; ,"La consistencia intertemporal de la regulaciÃ³n es un aspecto esencial para el correcto funcionamiento de los incentivos, especialmente en industrias con altos costos hundidos, como, por ejemplo, la generaciÃ³n de energÃ­a elÃ©ctrica, en la que se han desarrollado diferentes esquemas orientados a garantizar el suministro en el largo plazo. En este sentido, la inestabilidad del marco regulatorio no solo puede impedir el correcto funcionamiento de tales incentivos, sino que, en ocasiones, puede llegar a vulnerar las expectativas legÃ­timas de los agentes involucrados. El objetivo del presente trabajo es estudiar la estabilidad del marco regulatorio en torno al mecanismo de incentivo de largo plazo para la generaciÃ³n de energÃ­a aplicado en Colombia, denominado Cargo por Confiabilidad. Los hallazgos sugieÂ¬ren que es necesario fortalecer la independencia de la agencia reguladora y, en el mismo sentido, que la inestabilidad regulatoria ha generado redistribuciones de rentas entre los agentes de las cuales salen mejor librados los grupos de presiÃ³n mejor organizados."
https://ideas.repec.org/a/col/000090/018916.html,Recall Elections: A Tool of Accountability? Evidence from Peru,Michael Haman ; ,"I examine the role of recall elections in Peruvian municipalities to evaluate whether they are used as a tool to increase political accountability. I test the theoretical assumptions of elite mobilization theory and other theories related to the functions of political parties and invalid votes. I use logistic regression to analyze a dataset with recall elections until 2013. The results show that recall elections were held most frequently in municipalities with high local elecÂ¬torate party membership when the percentage of blank votes was low, and the margin of victory was low in previous municipal elections. The key variÂ¬ables for the successful removal of a mayor include the political experience of the organizer of a recall procedure, the number of null votes, and votes for the winner in previous municipal elections. Future research should build on these findings and further examine recall elections."
