departamento,municipio,codigo dane,armas medios,mes,descripcion conducta,genero,agrupa edad persona,cantidad
AMAZONAS,LETICIA (CT),91001000,ARMA BLANCA / CORTOPUNZANTE,MARZO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,ANDES,05034000,ARMA BLANCA / CORTOPUNZANTE,ENERO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,ARGELIA,05055000,ARMA BLANCA / CORTOPUNZANTE,ENERO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,BARBOSA,05079000,ARMA BLANCA / CORTOPUNZANTE,ENERO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,BELLO,05088000,ARMA BLANCA / CORTOPUNZANTE,ENERO,ARTÍCULO 103. HOMICIDIO,FEMENINO,ADULTOS,1
ANTIOQUIA,BETANIA,05091000,ARMA BLANCA / CORTOPUNZANTE,ENERO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,2
ANTIOQUIA,CÁCERES,05120000,ARMA BLANCA / CORTOPUNZANTE,ENERO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,2
ANTIOQUIA,CALDAS,05129000,ARMA BLANCA / CORTOPUNZANTE,ENERO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,CAUCASIA,05154000,ARMA BLANCA / CORTOPUNZANTE,ENERO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,2
ANTIOQUIA,COCORNÁ,05197000,ARMA BLANCA / CORTOPUNZANTE,ENERO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,COPACABANA,05212000,ARMA BLANCA / CORTOPUNZANTE,ENERO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,3
ANTIOQUIA,ITAGUI,05360000,ARMA BLANCA / CORTOPUNZANTE,ENERO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,3
ANTIOQUIA,LA CEJA,05376000,ARMA BLANCA / CORTOPUNZANTE,ENERO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,LA ESTRELLA,05380000,ARMA BLANCA / CORTOPUNZANTE,ENERO,ARTÍCULO 103. HOMICIDIO,FEMENINO,ADULTOS,1
ANTIOQUIA,MARINILLA,05440000,ARMA BLANCA / CORTOPUNZANTE,ENERO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,MEDELLÍN (CT),05001000,ARMA BLANCA / CORTOPUNZANTE,ENERO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,9
ANTIOQUIA,SAN ROQUE,05670000,ARMA BLANCA / CORTOPUNZANTE,ENERO,ARTÍCULO 103. HOMICIDIO,FEMENINO,ADULTOS,1
ANTIOQUIA,SANTO DOMINGO,05690000,ARMA BLANCA / CORTOPUNZANTE,ENERO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,TARAZÁ,05790000,ARMA BLANCA / CORTOPUNZANTE,ENERO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,2
ANTIOQUIA,AMAGÁ,05030000,ARMA BLANCA / CORTOPUNZANTE,FEBRERO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,CÁCERES,05120000,ARMA BLANCA / CORTOPUNZANTE,FEBRERO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,CALDAS,05129000,ARMA BLANCA / CORTOPUNZANTE,FEBRERO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,CAUCASIA,05154000,ARMA BLANCA / CORTOPUNZANTE,FEBRERO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,CIUDAD BOLÍVAR,05101000,ARMA BLANCA / CORTOPUNZANTE,FEBRERO,ARTÍCULO 103. HOMICIDIO,FEMENINO,ADULTOS,1
ANTIOQUIA,EL CARMEN DE VIBORAL,05148000,ARMA BLANCA / CORTOPUNZANTE,FEBRERO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,ITAGUI,05360000,ARMA BLANCA / CORTOPUNZANTE,FEBRERO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,MARINILLA,05440000,ARMA BLANCA / CORTOPUNZANTE,FEBRERO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,1
ANTIOQUIA,MEDELLÍN (CT),05001000,ARMA BLANCA / CORTOPUNZANTE,FEBRERO,ARTÍCULO 103. HOMICIDIO,FEMENINO,ADULTOS,1
ANTIOQUIA,MEDELLÍN (CT),05001000,ARMA BLANCA / CORTOPUNZANTE,FEBRERO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADOLESCENTES,1
ANTIOQUIA,MEDELLÍN (CT),05001000,ARMA BLANCA / CORTOPUNZANTE,FEBRERO,ARTÍCULO 103. HOMICIDIO,MASCULINO,ADULTOS,7
