6,Código DIVIPOLA,NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,Población en hogares particulares,Población en LEA,Población total
7,00,Total Nacional,,43835324,329093,44164417
8,05,Antioquia,,5931492,43296,5974788
9,08,Atlántico,,2336434,5831,2342265
10,11,"Bogotá, D.C.",,7149540,31929,7181469
11,13,Bolívar,,1903456,6004,1909460
12,15,Boyacá,,1124490,11208,1135698
13,17,Caldas,,914784,8688,923472
14,18,Caquetá,,348342,11260,359602
15,19,Cauca,,1235534,7969,1243503
16,20,Cesar,,1093583,4994,1098577
17,23,Córdoba,,1552073,3523,1555596
18,25,Cundinamarca,,2768797,24080,2792877
19,27,Chocó,,454359,3053,457412
20,41,Huila,,1001854,7694,1009548
21,44,La Guajira,,818380,6984,825364
22,47,Magdalena,,1260542,3246,1263788
23,50,Meta,,901220,17909,919129
24,52,Nariño,,1326587,8934,1335521
25,54,Norte de Santander,,1337743,9063,1346806
26,63,Quindio,,505611,4029,509640
27,66,Risaralda,,834760,4837,839597
28,68,Santander,,1992029,16812,2008841
29,70,Sucre,,860125,3911,864036
30,73,Tolima,,1217500,11263,1228763
31,76,Valle del Cauca,,3762229,27645,3789874
32,81,Arauca,,236746,2757,239503
33,85,Casanare,,374628,5264,379892
34,86,Putumayo,,277477,5720,283197
35,88,Archipiélago de San Andrés,,47834,465,48299
36,91,Amazonas,,62198,3858,66056
37,94,Guainía,,37582,6849,44431
38,95,Guaviare,,67027,6054,73081
39,97,Vaupés,,28963,8727,37690
40,99,Vichada,,71405,5237,76642
41,05001,Antioquia,Medellín,2359801,12529,2372330
42,05002,Antioquia,Abejorral,17573,26,17599
43,05004,Antioquia,Abriaquí,2141,18,2159
44,05021,Antioquia,Alejandría,3826,13,3839
45,05030,Antioquia,Amagá,26687,134,26821
46,05031,Antioquia,Amalfi,20141,124,20265
47,05034,Antioquia,Andes,37027,1117,38144
48,05036,Antioquia,Angelópolis,5013,14,5027
49,05038,Antioquia,Angostura,10500,0,10500
50,05040,Antioquia,Anorí,14477,25,14502
51,05042,Antioquia,Santafé de Antioquia,22966,250,23216
52,05044,Antioquia,Anza,6386,2,6388
53,05045,Antioquia,Apartadó,112396,1073,113469
54,05051,Antioquia,Arboletes,26279,10,26289
55,05055,Antioquia,Argelia,6733,19,6752
56,05059,Antioquia,Armenia,3817,2,3819
57,05079,Antioquia,Barbosa,44621,136,44757
58,05086,Antioquia,Belmira,5349,0,5349
59,05088,Antioquia,Bello,477660,4241,481901
60,05091,Antioquia,Betania,8589,0,8589
61,05093,Antioquia,Betulia,15069,28,15097
62,05101,Antioquia,Ciudad Bolívar,23086,275,23361
63,05107,Antioquia,Briceño,5946,0,5946
64,05113,Antioquia,Buriticá,7368,41,7409
65,05120,Antioquia,Cáceres,26120,340,26460
66,05125,Antioquia,Caicedo,7015,3,7018
67,05129,Antioquia,Caldas,75971,289,76260
68,05134,Antioquia,Campamento,7402,30,7432
69,05138,Antioquia,Cañasgordas,13562,33,13595
70,05142,Antioquia,Caracolí,3955,12,3967
71,05145,Antioquia,Caramanta,4269,0,4269
72,05147,Antioquia,Carepa,45300,636,45936
73,05148,Antioquia,El Carmen de Viboral,53606,343,53949
74,05150,Antioquia,Carolina,3320,23,3343
75,05154,Antioquia,Caucasia,84459,258,84717
76,05172,Antioquia,Chigorodó,55558,6,55564
77,05190,Antioquia,Cisneros,8891,19,8910
78,05197,Antioquia,Cocorná,14703,40,14743
79,05206,Antioquia,Concepción,3901,35,3936
80,05209,Antioquia,Concordia,16063,32,16095
81,05212,Antioquia,Copacabana,76078,401,76479
82,05234,Antioquia,Dabeiba,22678,39,22717
83,05237,Antioquia,Don Matías,14163,45,14208
84,05240,Antioquia,Ebéjico,10323,15,10338
85,05250,Antioquia,El Bagre,47549,93,47642
86,05264,Antioquia,Entrerrios,8779,41,8820
87,05266,Antioquia,Envigado,211558,879,212437
88,05282,Antioquia,Fredonia,18744,46,18790
89,05284,Antioquia,Frontino,20111,45,20156
90,05306,Antioquia,Giraldo,5057,0,5057
91,05308,Antioquia,Girardota,48310,735,49045
92,05310,Antioquia,Gómez Plata,8212,23,8235
93,05313,Antioquia,Granada,9203,1,9204
94,05315,Antioquia,Guadalupe,5452,0,5452
95,05318,Antioquia,Guarne,42034,466,42500
96,05321,Antioquia,Guatapé,6998,40,7038
97,05347,Antioquia,Heliconia,4709,0,4709
98,05353,Antioquia,Hispania,4950,0,4950
99,05360,Antioquia,Itagui,261576,1756,263332
100,05361,Antioquia,Ituango,18443,5341,23784
101,05364,Antioquia,Jardín,13453,88,13541
102,05368,Antioquia,Jericó,11046,211,11257
103,05376,Antioquia,La Ceja,58787,599,59386
104,05380,Antioquia,La Estrella,67002,879,67881
105,05390,Antioquia,La Pintada,7974,0,7974
106,05400,Antioquia,La Unión,20738,31,20769
107,05411,Antioquia,Liborina,7902,26,7928
108,05425,Antioquia,Maceo,7292,5,7297
109,05440,Antioquia,Marinilla,55225,5,55230
110,05467,Antioquia,Montebello,5881,0,5881
111,05475,Antioquia,Murindó,4642,0,4642
